sample3,,sample4,,
Wavelength (nm),%R,Wavelength (nm),Abs,
640,10.32913494,640,0.9859163761,
639,10.33044338,639,0.9856613278,
638,10.32842064,638,0.9854198694,
637,10.34861279,637,0.984950006,
636,10.35874176,636,0.9848017097,
635,10.35151386,635,0.9842073321,
634,10.3724699,634,0.9841909409,
633,10.37822056,633,0.9835860133,
632,10.36990356,632,0.983338356,
631,10.38622475,631,0.9833481908,
630,10.40263844,630,0.9830502272,
629,10.40029049,629,0.9819277525,
628,10.39231396,628,0.9823969603,
627,10.42560482,627,0.9820563793,
626,10.41127872,626,0.9816892743,
625,10.41880131,625,0.9815496802,
624,10.43059349,624,0.9814276099,
623,10.45518398,623,0.9808118343,
622,10.46258926,622,0.980278492,
621,10.4515295,621,0.9800736308,
620,10.46823788,620,0.9801085591,
619,10.45625401,619,0.9799747467,
618,10.49225235,618,0.9793851972,
617,10.50239086,617,0.9787908792,
616,10.49508858,616,0.9788082838,
615,10.48817825,615,0.9786053896,
614,10.51673698,614,0.978605628,
613,10.51431847,613,0.9778636098,
612,10.51593971,612,0.9773244858,
611,10.50422001,611,0.9775405526,
610,10.51894379,610,0.9768204689,
609,10.53974056,609,0.9768093228,
608,10.55369568,608,0.9763054848,
607,10.54281998,607,0.9768269658,
606,10.55495644,606,0.9753298163,
605,10.58478832,605,0.9747943282,
604,10.5750103,604,0.97549963,
603,10.59208488,603,0.9746386409,
602,10.59736443,602,0.974080801,
601,10.59891891,601,0.97423774,
600,10.59829235,600,0.9748818278,
599,10.62333393,599,0.9734550118,
598,10.61899853,598,0.9730929732,
597,10.62731838,597,0.9733213782,
596,10.66061592,596,0.9724192619,
595,10.64414597,595,0.971960783,
594,10.66394424,594,0.9721564651,
593,10.66881657,593,0.9715076089,
592,10.69154072,592,0.9712958932,
591,10.68321133,591,0.971583128,
590,10.67839241,590,0.9706588387,
589,10.70716476,589,0.9697987437,
588,10.70515347,588,0.9697217345,
587,10.71196842,587,0.969229877,
586,10.73193741,586,0.9692431688,
585,10.73640919,585,0.9690957069,
584,10.72984791,584,0.9687159657,
583,10.75823975,583,0.968341589,
582,10.76386642,582,0.9673731923,
581,10.76472187,581,0.9672268033,
580,10.7729311,580,0.9675604105,
579,10.78931046,579,0.9664397836,
578,10.78872776,578,0.9672606587,
577,10.79467583,577,0.9661381841,
576,10.79685211,576,0.9661589265,
575,10.81338882,575,0.9656851888,
574,10.81960106,574,0.9657281637,
573,10.82940197,573,0.9653669596,
572,10.84571743,572,0.9645659924,
571,10.83244801,571,0.9646795988,
570,10.85515499,570,0.9642087221,
569,10.86098289,569,0.9641919136,
568,10.84226704,568,0.9648819566,
567,10.85935211,567,0.9642109871,
566,10.86608505,566,0.9638954997,
565,10.85720253,565,0.9633947611,
564,10.8635006,564,0.9631304741,
563,10.87789059,563,0.9632482529,
562,10.88792229,562,0.962623477,
561,10.87403679,561,0.962623775,
560,10.89075947,560,0.9632213116,
559,10.89676285,559,0.9624090791,
558,10.90500259,558,0.962423563,
557,10.88954735,557,0.9621842504,
556,10.90578461,556,0.9627643228,
555,10.91256905,555,0.9618098736,
554,10.91217136,554,0.962153852,
553,10.90907383,553,0.9622346163,
552,10.89822197,552,0.9620278478,
551,10.92104053,551,0.9620095491,
550,10.92019939,550,0.9612444639,
549,10.92925644,549,0.9619012475,
548,10.93235493,548,0.9610346556,
547,10.93089771,547,0.9610976577,
546,10.93153858,546,0.9614108205,
545,10.93166542,545,0.9612657428,
544,10.94491959,544,0.9610299468,
543,10.95260525,543,0.960411787,
542,10.94319153,542,0.9604209065,
541,10.95273304,541,0.9601858854,
540,10.9527216,540,0.9598289132,
539,10.95881081,539,0.959864974,
538,10.97259521,538,0.9594321251,
537,10.97406578,537,0.959117353,
536,10.97328377,536,0.959530592,
535,10.99114037,535,0.9587691426,
534,11.00103855,534,0.9587363005,
533,11.02058601,533,0.9580093026,
532,11.01693344,532,0.9578419924,
531,11.04414272,531,0.9567648768,
530,11.05103302,530,0.9560391307,
529,11.05874825,529,0.9553919435,
528,11.090065,528,0.9550566673,
527,11.09425449,527,0.9542865753,
526,11.11026669,526,0.9537191391,
525,11.13504887,525,0.953948319,
524,11.16153812,524,0.9525341392,
523,11.17895889,523,0.9514113665,
522,11.19211864,522,0.9512133598,
521,11.20871353,521,0.9496724606,
520,11.21894741,520,0.9494826794,
519,11.25623703,519,0.9483900666,
518,11.25906754,518,0.94762218,
517,11.28898239,517,0.9472631812,
516,11.30997276,516,0.9469124079,
515,11.33630466,515,0.9450088739,
514,11.35929585,514,0.9443168044,
513,11.37063789,513,0.9444283843,
512,11.38604927,512,0.9431921244,
511,11.40986252,511,0.942548275,
510,11.40821552,510,0.942137301,
509,11.43071461,509,0.9413405061,
508,11.45667171,508,0.940710783,
507,11.45075512,507,0.9400023818,
506,11.48959064,506,0.9396519065,
505,11.51326942,505,0.939537704,
504,11.51496792,504,0.9385168552,
503,11.51072121,503,0.9378676414,
502,11.53572273,502,0.9381341338,
501,11.55335808,501,0.9370422363,
500,11.56475258,500,0.9365611076,
499,11.57763195,499,0.9364591241,
498,11.62399673,498,0.9354100227,
497,11.61663437,497,0.9346336722,
496,11.63361168,496,0.9342282414,
495,11.63382816,495,0.9346598983,
494,11.64459705,494,0.9332129955,
493,11.6517601,493,0.9331107736,
492,11.67603207,492,0.9324674606,
491,11.6699543,491,0.9321993589,
490,11.69486809,490,0.9319012761,
489,11.71169472,489,0.9314225912,
488,11.71672344,488,0.9303261042,
487,11.72272682,487,0.9303686619,
486,11.7339983,486,0.9300230742,
485,11.76108742,485,0.9294890761,
484,11.77713013,484,0.9289043546,
483,11.76737404,483,0.9291175604,
482,11.77466965,482,0.9288551211,
481,11.77221298,481,0.9286658764,
480,11.77825737,480,0.9281468391,
479,11.79796124,479,0.9280077219,
478,11.7989521,478,0.9283046126,
477,11.80842209,477,0.9279868007,
476,11.8116703,476,0.9268026352,
475,11.81804276,475,0.9267793298,
474,11.84282589,474,0.9266956449,
473,11.84174538,473,0.9267522693,
472,11.87451649,472,0.9251114726,
471,11.90666199,471,0.9243791699,
470,11.89432049,470,0.924110353,
