sample3;;sample4;
Wavelength (nm);%R;Wavelength (nm);Abs
636;1.035.874.176;636;0.9848017097
635;1.035.151.386;635;0.9842073321
634;103.724.699;634;0.9841909409
633;1.037.822.056;633;0.9835860133
632;1.036.990.356;632;0.983338356
631;1.038.622.475;631;0.9833481908
630;1.040.263.844;630;0.9830502272
629;1.040.029.049;629;0.9819277525
628;1.039.231.396;628;0.9823969603
627;1.042.560.482;627;0.9820563793
626;1.041.127.872;626;0.9816892743
625;1.041.880.131;625;0.9815496802
624;1.043.059.349;624;0.9814276099
623;1.045.518.398;623;0.9808118343
622;1.046.258.926;622;0.980278492
621;104.515.295;621;0.9800736308
620;1.046.823.788;620;0.9801085591
619;1.045.625.401;619;0.9799747467
618;1.049.225.235;618;0.9793851972
617;1.050.239.086;617;0.9787908792
616;1.049.508.858;616;0.9788082838
615;1.048.817.825;615;0.9786053896
614;1.051.673.698;614;0.978605628
613;1.051.431.847;613;0.9778636098
612;1.051.593.971;612;0.9773244858
611;1.050.422.001;611;0.9775405526
610;1.051.894.379;610;0.9768204689
609;1.053.974.056;609;0.9768093228
608;1.055.369.568;608;0.9763054848
607;1.054.281.998;607;0.9768269658
606;1.055.495.644;606;0.9753298163
605;1.058.478.832;605;0.9747943282
604;105.750.103;604;0.97549963
603;1.059.208.488;603;0.9746386409
602;1.059.736.443;602;0.974080801
601;1.059.891.891;601;0.97423774
600;1.059.829.235;600;0.9748818278
599;1.062.333.393;599;0.9734550118
598;1.061.899.853;598;0.9730929732
597;1.062.731.838;597;0.9733213782
596;1.066.061.592;596;0.9724192619
595;1.064.414.597;595;0.971960783
594;1.066.394.424;594;0.9721564651
593;1.066.881.657;593;0.9715076089
592;1.069.154.072;592;0.9712958932
591;1.068.321.133;591;0.971583128
590;1.067.839.241;590;0.9706588387
589;1.070.716.476;589;0.9697987437
588;1.070.515.347;588;0.9697217345
587;1.071.196.842;587;0.969229877
586;1.073.193.741;586;0.9692431688
585;1.073.640.919;585;0.9690957069
584;1.072.984.791;584;0.9687159657
583;1.075.823.975;583;0.968341589
582;1.076.386.642;582;0.9673731923
581;1.076.472.187;581;0.9672268033
580;107.729.311;580;0.9675604105
579;1.078.931.046;579;0.9664397836
578;1.078.872.776;578;0.9672606587
577;1.079.467.583;577;0.9661381841
576;1.079.685.211;576;0.9661589265
575;1.081.338.882;575;0.9656851888
574;1.081.960.106;574;0.9657281637
573;1.082.940.197;573;0.9653669596
572;1.084.571.743;572;0.9645659924
571;1.083.244.801;571;0.9646795988
570;1.085.515.499;570;0.9642087221
569;1.086.098.289;569;0.9641919136
568;1.084.226.704;568;0.9648819566
567;1.085.935.211;567;0.9642109871
566;1.086.608.505;566;0.9638954997
565;1.085.720.253;565;0.9633947611
564;108.635.006;564;0.9631304741
563;1.087.789.059;563;0.9632482529
562;1.088.792.229;562;0.962623477
561;1.087.403.679;561;0.962623775
560;1.089.075.947;560;0.9632213116
559;1.089.676.285;559;0.9624090791
558;1.090.500.259;558;0.962423563
557;1.088.954.735;557;0.9621842504
556;1.090.578.461;556;0.9627643228
555;1.091.256.905;555;0.9618098736
554;1.091.217.136;554;0.962153852
553;1.090.907.383;553;0.9622346163
552;1.089.822.197;552;0.9620278478
551;1.092.104.053;551;0.9620095491
550;1.092.019.939;550;0.9612444639
549;1.092.925.644;549;0.9619012475
548;1.093.235.493;548;0.9610346556
547;1.093.089.771;547;0.9610976577
546;1.093.153.858;546;0.9614108205
545;1.093.166.542;545;0.9612657428
544;1.094.491.959;544;0.9610299468
543;1.095.260.525;543;0.960411787
542;1.094.319.153;542;0.9604209065
541;1.095.273.304;541;0.9601858854
540;109.527.216;540;0.9598289132
539;1.095.881.081;539;0.959864974
538;1.097.259.521;538;0.9594321251
537;1.097.406.578;537;0.959117353
536;1.097.328.377;536;0.959530592
535;1.099.114.037;535;0.9587691426
534;1.100.103.855;534;0.9587363005
533;1.102.058.601;533;0.9580093026
532;1.101.693.344;532;0.9578419924
531;1.104.414.272;531;0.9567648768
530;1.105.103.302;530;0.9560391307
529;1.105.874.825;529;0.9553919435
528;11.090.065;528;0.9550566673
527;1.109.425.449;527;0.9542865753
526;1.111.026.669;526;0.9537191391
525;1.113.504.887;525;0.953948319
524;1.116.153.812;524;0.9525341392
523;1.117.895.889;523;0.9514113665
522;1.119.211.864;522;0.9512133598
